Stage;Max(12th loop);Min_abnormal(11th loop);Time_Difference(Max-Min)
RestoreOS: Restore: fsck_recovery_volume;1.3012;1.2972;0.004
RestoreOS: Restore: mount_recovery_os_filesystem;0.6621;0.6646;-0.0025
RestoreOS: Restore: macos_populate_system_recovery_os;175.8163;175.8489;-0.0326
RestoreOS: Restore: restored_install_system_recovery_basesystem_roots;0.0103;0.0103;0.0
RestoreOS: Restore: preserve_source_boot_objects;31.5583;31.5512;0.0071
RestoreOS: Restore: macos_create_recovery_local_policy;2.1659;3.1006;-0.9347
RestoreOS: Restore: generate_default_local_policy;1.8009;1.7986;0.0023
RestoreOS: Restore: populate_preboot_volume;4.2852;4.3069;-0.0217
RestoreOS: Restore: populate_isc_preboot_volume;0.7524;0.7529;-0.0005
RestoreOS: Restore: populate_paired_recovery_volume;124.6549;123.838;0.8169
RestoreOS: Restore: install_paired_recovery_basesystem_roots;0.0101;0.0101;0.0
RestoreOS: Restore: bless_system_volume;16.3078;16.2007;0.1071
RestoreOS: Restore: boot_global_signed_centauri;0.0111;0.0114;-0.0003
RestoreOS: Restore: set_boot_command;0.0083999999999999;0.0081;0.0003
RestoreOS: Restore: set_bootable;0.015;0.015;0.0
RestoreOS: Restore: seal_system_volume;79.6023;79.391;0.2113
RestoreOS: Restore: create_system_snapshot;3.7607;3.7957;-0.035
RestoreOS: Restore: install_exclaveos_overlay_roots;0.015;0.015;0.0
RestoreOS: Restore: adjust_recovery_mode_output;0.012;0.0119;0.0001
RestoreOS: Restore: set_autoboot_delay;0.0348;0.0342;0.0006
RestoreOS: Restore: dut_power_settings_handling;0.007;0.0071;-0.0001
RestoreOS: Restore: unmount_filesystems;0.0722;0.0716;0.0006
RestoreOS: Restore: cleanup_boot_command;0.0153;0.0153;0.0
RestoreOS: Restore: cleanup_recovery_os_volume;0.0069;0.0069;0.0
RestoreOS: Restore: cleanup_check_result;0.0068;0.0067;0.0001
RestoreOS: Restore: cleanup_send_crash_logs;0.0099;0.0097;0.0002
RestoreOS: Restore: cleanup_send_final_status;0.0585;0.0588;-0.0003
RestoreOS: Restore: cleanup_wait_status_received;0.0108;0.0106;0.0002
RestoreOS: Restore: cleanup_write_restore_log;0.0067;0.0067;0.0
RestoreOS: Restore: cleanup_failure_warning;0.0067;0.0067;0.0
RestoreOS: Restore: cleanup_post_restore;0.0077;0.0076;0.0001
RestoreOS: Restore: cleanup_release;0.0066;0.0067;-0.0001
RestoreOS: Restore: [ASYNC Task]  provision_mesa ;0.0137;0.0136;0.0001
RestoreOS: Restore: [ASYNC Task]  restore_system_image ;1275.0961;1272.7915;2.3046
RestoreOS: Restore: [ASYNC Task]  update_veridian ;0.0204;0.0191;0.0013
RestoreOS: Restore: [ASYNC Task]  update_stockholm ;0.5192;0.5196;-0.0004
RestoreOS: Restore: [ASYNC Task]  update_rose ;0.0308;0.0299;0.0009
RestoreOS: Restore: [ASYNC Task]  update_tcon ;0.0164;0.0178;-0.0014
RestoreOS: Restore: [ASYNC Task]  update_appletcon ;0.0234;0.0267;-0.0033
RestoreOS: Restore: [ASYNC Task]  update_orion ;0.0179;0.016;0.0019
RestoreOS: Restore: [ASYNC Task]  update_peppy ;0.0125;0.0169;-0.0044
RestoreOS: Restore: [ASYNC Task]  update_nitrogen ;0.0132;0.0157;-0.0025
RestoreOS: Restore: [ASYNC Task]  update_usbc ;0.0129;0.0166;-0.0037
RestoreOS: Restore: [ASYNC Task]  update_se ;5.6573;3.4453;2.212
