Stage;Max_abnormal(2nd loop);Min_abnormal(52nd loop);Abnormal(5th loop);Abnormal(36th loop);Time_Difference(Max-Min)
RestoreOS: Restore: set_one_time_boot_command;0.0125;0.0126;0.0126;0.0129;-0.0001
RestoreOS: Restore: set_nvram_variables;0.0276;0.0278;0.0269;0.0278;-0.0002
RestoreOS: Restore: persistent_boot_args;0.0182;0.0181;0.018;0.0182;0.0001
RestoreOS: Restore: set_tdm;0.0079;0.0079;0.0079;0.0077;0.0
RestoreOS: Restore: unprovision_mesa;0.0367;0.0367;0.0363;0.0365;0.0
RestoreOS: Restore: fsck_recovery_volume;1.295;1.2963;1.3022;1.2989;-0.0013
RestoreOS: Restore: mount_recovery_os_filesystem;0.664;0.6627;0.6628;0.6636;0.0013
RestoreOS: Restore: macos_populate_system_recovery_os;176.4808;175.667;175.7174;176.122;0.8138
RestoreOS: Restore: restored_install_system_recovery_basesystem_roots;0.0101;0.0103;0.0101;0.0102;-0.0002
RestoreOS: Restore: preserve_source_boot_objects;33.9282;33.4557;33.3398;33.3241;0.4725
RestoreOS: Restore: macos_create_recovery_local_policy;20.7753;0.9948;10.0296;1.0064;19.7805
RestoreOS: Restore: generate_default_local_policy;1.8008;1.7939;1.8035;1.8041;0.0069
RestoreOS: Restore: populate_preboot_volume;4.6414;4.655;4.6262;4.6403;-0.0136
RestoreOS: Restore: populate_isc_preboot_volume;0.7481;0.755;0.7545;0.753;-0.0069
RestoreOS: Restore: populate_paired_recovery_volume;127.6254;124.0981;124.829;124.0522;3.5273
RestoreOS: Restore: install_paired_recovery_basesystem_roots;0.0099;0.0101;0.0099;0.0098;-0.0002
RestoreOS: Restore: bless_system_volume;18.1013;18.1427;18.1831;18.1746;-0.0414
RestoreOS: Restore: boot_global_signed_centauri;0.0114;0.0114;0.0115;0.0115;0.0
RestoreOS: Restore: set_boot_command;0.008;0.0081;0.0081;0.0081;-0.0001
RestoreOS: Restore: set_bootable;0.0152;0.0143;0.0153;0.0163;0.0009
RestoreOS: Restore: seal_system_volume;79.4292;80.0701;79.5804;79.4152;-0.6409
RestoreOS: Restore: create_system_snapshot;3.7599;3.7546;3.8131;3.7478;0.0053
RestoreOS: Restore: install_exclaveos_overlay_roots;0.0146;0.015;0.0152;0.0151;-0.0004
RestoreOS: Restore: adjust_recovery_mode_output;0.0122;0.012;0.012;0.0121;0.0002
RestoreOS: Restore: set_autoboot_delay;0.0332;0.0332;0.033;0.0334;0.0
RestoreOS: Restore: dut_power_settings_handling;0.007;0.007;0.0069;0.0069;0.0
RestoreOS: Restore: unmount_filesystems;0.0668;0.0709999999999999;0.0719;0.0711;-0.0042
RestoreOS: Restore: cleanup_boot_command;0.0154;0.0153;0.0154;0.0153;0.0001
RestoreOS: Restore: cleanup_recovery_os_volume;0.0069;0.0069;0.0069;0.0071;0.0
RestoreOS: Restore: cleanup_check_result;0.0067;0.0066;0.0067;0.0067;0.0001
RestoreOS: Restore: cleanup_send_crash_logs;0.01;0.0099;0.0099;0.0098;0.0001
