Stage;Max_abnormal(9th loop);Min(2nd loop);Time_Difference(Max-Min)
RestoreOS: Restore: commit_sep_os;4.0916;4.0805;0.0111
RestoreOS: Restore: run_sep_eeprom_test;22.9095;22.8448;0.0647
RestoreOS: Restore: pair_stockholm;0.0095;0.0086;0.0009
RestoreOS: Restore: verify_se_pairing;0.0065;0.0066;-0.0001
RestoreOS: Restore: await_system_image_invert_retry;1025.3004;1022.6947;2.6057
RestoreOS: Restore: create_protected_filesystems;5.6693;5.6732;-0.0039
RestoreOS: Restore: create_volume_group;0.0368;0.0369;-0.0001
RestoreOS: Restore: reserve_overprov_space;0.0094;0.0095;-0.0001
RestoreOS: Restore: install_regulatory_images;0.9977;1.0005;-0.0028
RestoreOS: Restore: read_new_os_build_version;0.02;0.0199;0.0001
RestoreOS: Restore: install_splat;0.0253;0.0235;0.0018
RestoreOS: Restore: install_root;0.0071;0.0073;-0.0002
RestoreOS: Restore: install_overlay_roots;0.1109;0.1112;-0.0003
RestoreOS: Restore: install_splat_overlay_roots;0.0147;0.0146;0.0001
RestoreOS: Restore: install_regulatory_images_root;0.0143;0.0143;0.0
RestoreOS: Restore: install_update_volume_root;0.0115;0.0115;0.0
RestoreOS: Restore: restored_fixup_system;581.4206;576.6378;4.7828
RestoreOS: Restore: write_ticket;0.0367;0.0369;-0.0002
RestoreOS: Restore: fixup_var;0.8277;0.8292;-0.0015
RestoreOS: Restore: create_partition_mountpoints;0.0241;0.0242;-0.0001
RestoreOS: Restore: factory_restore_marker;0.0115;0.0116;-0.0001
RestoreOS: Restore: factory_ucrt;9.2256;7.2412;1.9844
RestoreOS: Restore: factory_mac_check_flag;0.0121;0.0123;-0.0002
RestoreOS: Restore: aru_post_seal_tasks;0.021;0.0215;-0.0005
RestoreOS: Restore: factory_sad_config;0.0116;0.0112;0.0004
RestoreOS: Restore: create_production_ucrt;0.0119;0.0118;0.0001
RestoreOS: Restore: create_production_dcrt;0.0104;0.0104;0.0
RestoreOS: Restore: store_device_time;0.0198;0.0199;-0.0001
RestoreOS: Restore: attest_restore;37.4039;37.4067;-0.0028
RestoreOS: Restore: set_one_time_boot_command;0.0127;0.0126;0.0001
RestoreOS: Restore: set_nvram_variables;0.0283;0.028;0.0003
RestoreOS: Restore: persistent_boot_args;0.0182;0.0183;-0.0001
RestoreOS: Restore: set_tdm;0.0078;0.0078;0.0
RestoreOS: Restore: unprovision_mesa;0.0366;0.0368;-0.0002
RestoreOS: Restore: fsck_recovery_volume;1.3129;1.2997;0.0132
RestoreOS: Restore: mount_recovery_os_filesystem;0.666;0.6716;-0.0056
RestoreOS: Restore: macos_populate_system_recovery_os;176.6927;175.5373;1.1554
RestoreOS: Restore: restored_install_system_recovery_basesystem_roots;0.0102;0.0102;0.0
RestoreOS: Restore: preserve_source_boot_objects;33.482;33.4322;0.0498
RestoreOS: Restore: macos_create_recovery_local_policy;3.1363;1.0124;2.1239
RestoreOS: Restore: generate_default_local_policy;1.803;1.8;0.003
RestoreOS: Restore: populate_preboot_volume;4.6409;4.6542;-0.0133
RestoreOS: Restore: populate_isc_preboot_volume;0.7565;0.753;0.0035
RestoreOS: Restore: populate_paired_recovery_volume;130.9723;124.6983;6.274
RestoreOS: Restore: install_paired_recovery_basesystem_roots;0.0101;0.0101;0.0
RestoreOS: Restore: bless_system_volume;18.1168;18.1214;-0.0046
RestoreOS: Restore: boot_global_signed_centauri;0.0116;0.0115;0.0001
RestoreOS: Restore: set_boot_command;0.0082;0.008;0.0002
RestoreOS: Restore: set_bootable;0.014;0.0131;0.0009
RestoreOS: Restore: seal_system_volume;79.3424;79.4491;-0.1067
RestoreOS: Restore: create_system_snapshot;3.7495;3.8002;-0.0507
RestoreOS: Restore: install_exclaveos_overlay_roots;0.015;0.0152;-0.0002
RestoreOS: Restore: adjust_recovery_mode_output;0.012;0.012;0.0
RestoreOS: Restore: set_autoboot_delay;0.0334;0.0345;-0.0011
RestoreOS: Restore: dut_power_settings_handling;0.007;0.0069;0.0001
RestoreOS: Restore: unmount_filesystems;0.0718;0.0721;-0.0003
RestoreOS: Restore: cleanup_boot_command;0.0154;0.0153;0.0001
RestoreOS: Restore: cleanup_recovery_os_volume;0.007;0.0069;0.0001
RestoreOS: Restore: cleanup_check_result;0.0066;0.0066;0.0
RestoreOS: Restore: cleanup_send_crash_logs;0.01;0.01;0.0
RestoreOS: Restore: cleanup_send_final_status;0.0587;0.0588;-0.0001
RestoreOS: Restore: cleanup_wait_status_received;0.0106;0.0107;-0.0001
RestoreOS: Restore: cleanup_write_restore_log;0.0068;0.0068;0.0
RestoreOS: Restore: cleanup_failure_warning;0.0067;0.0066;0.0001
RestoreOS: Restore: cleanup_post_restore;0.0076;0.0077;-0.0001
RestoreOS: Restore: cleanup_release;0.0067;0.0066;0.0001
RestoreOS: Restore: [ASYNC Task]  provision_mesa ;0.0138;0.0137;0.0001
RestoreOS: Restore: [ASYNC Task]  restore_system_image ;1274.0456;1272.4955;1.5501
RestoreOS: Restore: [ASYNC Task]  update_veridian ;0.0193;0.0203;-0.001
RestoreOS: Restore: [ASYNC Task]  update_stockholm ;0.5173;0.5041;0.0132
RestoreOS: Restore: [ASYNC Task]  update_rose ;0.033;0.0261;0.0069
RestoreOS: Restore: [ASYNC Task]  update_tcon ;0.0191;0.0157;0.0034
RestoreOS: Restore: [ASYNC Task]  update_appletcon ;0.0251;0.026;-0.0009
RestoreOS: Restore: [ASYNC Task]  update_orion ;0.0163;0.0171;-0.0008
RestoreOS: Restore: [ASYNC Task]  update_peppy ;0.0163;0.0134;0.0029
RestoreOS: Restore: [ASYNC Task]  update_nitrogen ;0.0159;0.0164;-0.0005
RestoreOS: Restore: [ASYNC Task]  update_usbc ;0.0161;0.0159;0.0002
RestoreOS: Restore: [ASYNC Task]  update_se ;3.4043;5.4647;-2.0604
