Log Folder Path;~/Library/Application Support/PurpleRabbit/Logs/2025-08-16_22-50-04-0x1810862220011C;
RestoreOS: Restore: await_update_orion;0.0108;
RestoreOS: Restore: await_update_peppy;0.0134;
RestoreOS: Restore: await_update_nitrogen;0.0106;
RestoreOS: Restore: await_update_usbc;0.0119;
RestoreOS: Restore: update_ace3;11.0793;
RestoreOS: Restore: update_usbcretimer;103.2919;
RestoreOS: Restore: update_PFX;0.0755;
RestoreOS: Restore: update_PS190;78.23269999999999;
RestoreOS: Restore: await_update_stockholm;0.0132;
RestoreOS: Restore: await_update_rose;0.0134;
RestoreOS: Restore: await_update_se;0.011;
RestoreOS: Restore: await_update_update_veridian;0.0139;
RestoreOS: Restore: update_device_firmware;0.0356;
RestoreOS: Restore: certify_yonkers;0.0111;
RestoreOS: Restore: aru_pre_seal_tasks;0.0339;
RestoreOS: Restore: dotara_lock;0.0061;
RestoreOS: Restore: update_syscfg;7.7473;
RestoreOS: Restore: submit_provinfo;0.0101;
RestoreOS: Restore: verify_fdr_data;6.9163;
RestoreOS: Restore: update_rose_postseal;0.07340000000000001;
RestoreOS: Restore: stage_fdr_ean;0.0493;
RestoreOS: Restore: ensure_fdr_ean;0.0421;
RestoreOS: Restore: update_fdr_ean;1.0088;
RestoreOS: Restore: update_fillmore;0.0112;
RestoreOS: Restore: fdr_verify_sealed_manifest;0.009599999999999999;
RestoreOS: Restore: commit_sep_os;4.103;
RestoreOS: Restore: run_sep_eeprom_test;22.8775;
RestoreOS: Restore: pair_stockholm;0.0095;
RestoreOS: Restore: verify_se_pairing;0.0092;
RestoreOS: Restore: await_system_image_invert_retry;1024.4427;
RestoreOS: Restore: create_protected_filesystems;5.6589;
RestoreOS: Restore: create_volume_group;0.0365;
RestoreOS: Restore: reserve_overprov_space;0.0094;
RestoreOS: Restore: install_regulatory_images;0.9997;
RestoreOS: Restore: read_new_os_build_version;0.0195;
RestoreOS: Restore: install_splat;0.0252;
RestoreOS: Restore: install_root;0.0073;
RestoreOS: Restore: install_overlay_roots;0.1116;
RestoreOS: Restore: install_splat_overlay_roots;0.0145;
RestoreOS: Restore: install_regulatory_images_root;0.0141;
RestoreOS: Restore: install_update_volume_root;0.0114;
RestoreOS: Restore: restored_fixup_system;578.2393;
RestoreOS: Restore: write_ticket;0.0363;
RestoreOS: Restore: fixup_var;0.8280999999999999;
RestoreOS: Restore: create_partition_mountpoints;0.0237;
RestoreOS: Restore: factory_restore_marker;0.0116;
RestoreOS: Restore: factory_ucrt;6.1734;
RestoreOS: Restore: factory_mac_check_flag;0.0122;
RestoreOS: Restore: aru_post_seal_tasks;0.0212;
RestoreOS: Restore: factory_sad_config;0.0113;
RestoreOS: Restore: create_production_ucrt;0.0118;
RestoreOS: Restore: create_production_dcrt;0.0103;
RestoreOS: Restore: store_device_time;0.0196;
RestoreOS: Restore: attest_restore;37.405;
RestoreOS: Restore: set_one_time_boot_command;0.0127;
RestoreOS: Restore: set_nvram_variables;0.0285;
RestoreOS: Restore: persistent_boot_args;0.0183;
RestoreOS: Restore: set_tdm;0.0078;
RestoreOS: Restore: unprovision_mesa;0.0367;
RestoreOS: Restore: fsck_recovery_volume;1.2979;
RestoreOS: Restore: mount_recovery_os_filesystem;0.6646;
RestoreOS: Restore: macos_populate_system_recovery_os;175.8787;
RestoreOS: Restore: restored_install_system_recovery_basesystem_roots;0.0101;
RestoreOS: Restore: preserve_source_boot_objects;33.4083;
RestoreOS: Restore: macos_create_recovery_local_policy;1.0402;
RestoreOS: Restore: generate_default_local_policy;1.7918;
RestoreOS: Restore: populate_preboot_volume;4.6325;
RestoreOS: Restore: populate_isc_preboot_volume;0.7619;
RestoreOS: Restore: populate_paired_recovery_volume;124.354;
RestoreOS: Restore: install_paired_recovery_basesystem_roots;0.01;
RestoreOS: Restore: bless_system_volume;18.1976;
RestoreOS: Restore: boot_global_signed_centauri;0.0115;
RestoreOS: Restore: set_boot_command;0.008200000000000001;
RestoreOS: Restore: set_bootable;0.0154;
RestoreOS: Restore: seal_system_volume;79.4575;
RestoreOS: Restore: create_system_snapshot;3.7684;
RestoreOS: Restore: install_exclaveos_overlay_roots;0.0154;
RestoreOS: Restore: adjust_recovery_mode_output;0.0121;
RestoreOS: Restore: set_autoboot_delay;0.0344;
RestoreOS: Restore: dut_power_settings_handling;0.007;
RestoreOS: Restore: unmount_filesystems;0.0709;
RestoreOS: Restore: cleanup_boot_command;0.0154;
RestoreOS: Restore: cleanup_recovery_os_volume;0.0069;
RestoreOS: Restore: cleanup_check_result;0.0066;
RestoreOS: Restore: cleanup_send_crash_logs;0.009900000000000001;
RestoreOS: Restore: cleanup_send_final_status;0.0586;
RestoreOS: Restore: cleanup_wait_status_received;0.0108;
RestoreOS: Restore: cleanup_write_restore_log;0.0067;
RestoreOS: Restore: cleanup_failure_warning;0.0066;
RestoreOS: Restore: cleanup_post_restore;0.0077;
RestoreOS: Restore: cleanup_release;0.0065;
